subid,AGE
1,9.17
2,12.84
3,14.17
4,12.92
5,7.54
6,12.73
7,11.34
8,13.12
9,14.17
10,14.35
11,7.67
12,15.19
13,12.07
14,9.18
15,10.29
16,11.35
17,8.53
18,8.51
19,8.17
20,9.75
21,9.90
22,16.55
23,14.54
24,17.50
25,8.99
26,15.14
27,8.80
28,17.56
29,12.87
30,12.01
31,11.41
32,10.28
33,9.69
34,15.14
35,13.31
36,15.23
37,14.21
38,11.20
39,10.99
40,8.26
41,10.45
42,14.92
43,17.35
44,7.45
45,7.06
46,9.43
47,8.4
48,12.45
49,11.76
50,10.46
51,11.82
52,10.02
53,9.50
54,9.48
55,9.08
56,12.07
57,11.44
58,17.67
59,9.39
60,15.74
61,9.86
62,15.62
63,13.44
64,8.44
65,13.47
66,9.18
67,12.84
68,9.04
69,10.48
70,12.60
71,7.08
72,12.79
73,12.56
74,10.29
75,7.97
76,17.10
77,12.60
78,7.81
79,14.68
80,9.49
81,7.01
82,10.51
83,10.17
84,15.14
85,7.04
86,9.99
87,7.91
88,7.37
89,10.82
90,13.46
91,8.55
92,10.55
93,12.24
94,7.87
95,11.14
96,9.93
97,16.44
98,10.82
99,11.58
100,8.86
101,8.39
102,13.35
103,7.02
104,11.53
105,11.77
106,12.61
107,9.97
108,11.82
109,14.53
110,13.44
111,8.09
112,9.75
113,8.53
114,11.25
115,9.12
116,16.04
117,21.38
118,12.90
119,12.22
120,15.08
121,8.01
122,11.71
123,11.53
124,11.84
125,8.46
126,8.67
127,7.08
128,7.46
129,15.79
130,7.7
131,10.76
132,15.87
133,12.49
134,13.66
135,14.37
136,9.05
137,16.41
138,7.66
139,8.28
140,7.53
141,9.13
142,7.51
143,11.94
144,17.47
145,9.31
146,8.55
147,8.56
148,8.69
149,11.86
150,7.00
151,15.25
152,18.36
153,9.07
154,11.37
155,10.19
156,8.95
157,13.61
158,9.10
159,11.88
160,8.18
161,12.81
162,10.30
163,11.17
164,12.52
165,10.94
166,10.74
167,9.09
168,10.03
169,13.13
170,7.19
171,10.04
172,13.99
173,7.20
174,20.27
175,11.39
176,16.95
177,13.20
178,7.12
179,11.34
180,6.47
181,13.99
182,11.91
183,10.53
184,8.53
185,7.02
186,6.20
187,10.86
188,11.02
189,9.97
190,7.03
191,9.04
192,8.91
193,13.52
194,17.35
195,9.61
196,11.73
197,18.81
198,15.10
199,12.72
200,15.95
201,14.53
202,15.22
203,7.06
204,12.18
205,10.28
206,9.39
207,10.42
208,10.26
209,11.09
210,7.70
211,7.20
212,6.96
213,15.67
214,8.95
215,8.20
216,7.67
217,8.32
218,14.02
219,9.57
220,9.42
221,8.81
222,9.43
223,9.20
224,13.86
225,14.41
226,11.43
227,12.63
228,14.04
229,11.31
230,8.65
231,18.19
232,13.46
233,13.31
234,6.99
235,9.74
236,7.82
237,10.13
238,9.57
239,15.65
240,12.78
241,9.99
242,9.75
243,8.45
244,12.59
245,16.92
246,9.01
247,6.71
248,7.37
249,10.72
250,8.80
251,14.85
252,16.62
253,13.64
254,8.16
255,11.34
256,8.75
257,9.41
258,13.32
259,11.60
260,8.67
261,15.02
262,8.88
263,9.66
264,8.3
265,9.49
266,7.41
267,13.48
268,7.38
269,11.81
270,9.56
271,8.72
272,8.42
273,12.12
274,7.45
275,14.41
276,13.11
277,10.14
278,15.41
279,15.79
280,17.07
281,8.32
282,16.93
283,13.46
284,14.35
285,14.49
286,7.49
287,14.27
288,12.31
289,10.13
290,11.77
291,9.26
292,7.77
293,8.29
294,14.86
295,7.85
296,14.82
297,10.30
298,7.49
299,10.25
300,9.99
301,11.43
302,9.43
303,10.30
304,18.48
305,13.73
306,7.88
307,8.51
308,8.70
309,10.32
310,12.49
311,9.08
312,8.11
313,9.31
314,12.92
315,11.58
316,8.00
317,17.73
318,10.91
319,12.93
320,11.53
321,9.94
322,12.00
323,15.98
324,11.26
325,11.86
326,12.39
327,6.99
328,11.89
329,10.19
330,6.55
331,8.38
332,6.54
333,6.79
334,9.34
335,17.81
336,13.60
337,8.91
338,11.86
339,14.12
340,16.71
341,13.00
342,6.40
343,8.21
344,7.89
345,8.22
346,7.93
347,7.00
348,7.72
349,10.69
350,7.15
351,9.58
352,7.54
353,11.06
354,12.46
355,9.99
356,10.33
357,11.2
358,9.10
359,10.85
360,7.97
361,9.72
362,10.95
363,17.59
364,6.69
365,14.96
366,9.17
367,9.67
368,14.11
