subid,AGE
00001,9.17
00002,12.84
00003,14.17
00004,12.92
00005,12.73
00006,13.12
00007,14.17
00008,14.35
00009,15.19
00010,12.07
00011,9.18
00012,8.51
00013,8.17
00014,9.75
00015,9.90
00016,16.55
00017,14.54
00018,17.50
00019,8.80
00020,12.87
00021,12.01
00022,10.28
00023,9.69
00024,13.31
00025,15.23
00026,14.21
00027,11.20
00028,10.99
00029,10.45
00030,14.92
00031,17.35
00032,7.45
00033,9.43
00034,12.45
00035,10.46
00036,10.02
00037,9.50
00038,9.48
00039,12.07
00040,11.44
00041,17.67
00042,9.39
00043,15.62
00044,13.44
00045,8.44
00046,13.47
00047,12.84
00048,10.48
00049,12.79
00050,12.56
00051,7.97
00052,17.10
00053,12.60
00054,7.01
00055,10.17
00056,15.14
00057,7.04
00058,7.91
00059,7.37
00060,13.46
00061,9.93
00062,16.44
00063,10.82
00064,11.58
00065,8.86
00066,8.39
00067,13.35
00068,7.02
00069,11.53
00070,11.82
00071,14.53
00072,13.44
00073,8.09
00074,8.53
00075,16.04
00076,12.90
00077,12.22
00078,15.08
00079,11.53
00080,11.84
00081,7.46
00082,15.79
00083,10.76
00084,15.87
00085,12.49
00086,13.66
00087,14.37
00088,16.41
00089,7.66
00090,7.53
00091,9.13
00092,7.51
00093,11.94
00094,17.47
00095,8.69
00096,7.00
00097,15.25
00098,9.07
00099,11.37
00100,10.19
00101,13.61
00102,9.10
00103,11.88
00104,8.18
00105,12.81
00106,10.30
00107,11.17
00108,12.52
00109,10.03
00110,13.13
00111,13.99
00112,7.20
00113,20.27
00114,11.39
00115,16.95
00116,13.20
00117,7.12
00118,6.47
00119,13.99
00120,11.91
00121,10.53
00122,7.02
00123,17.35
00124,9.61
00125,11.73
00126,18.81
00127,15.10
00128,15.95
00129,14.53
00130,15.22
00131,7.06
00132,12.18
00133,10.28
00134,9.39
00135,10.26
00136,11.09
00137,7.70
00138,15.67
00139,8.95
00140,8.20
00141,7.67
00142,9.42
00143,8.81
00144,9.43
00145,9.20
00146,13.86
00147,14.41
00148,12.63
00149,14.04
00150,11.31
00151,18.19
00152,13.46
00153,6.99
00154,9.74
00155,7.82
00156,10.13
00157,9.57
00158,15.65
00159,12.78
00160,9.99
00161,12.59
00162,16.92
00163,9.01
00164,6.71
00165,10.72
00166,8.80
00167,14.85
00168,16.62
00169,13.64
00170,8.16
00171,13.32
00172,11.60
00173,8.67
00174,15.02
00175,13.48
00176,11.81
00177,9.56
00178,8.42
00179,12.12
00180,14.41
00181,13.11
00182,10.14
00183,15.79
00184,17.07
00185,16.93
00186,13.46
00187,14.49
00188,7.49
00189,14.27
00190,11.77
00191,7.77
00192,8.29
00193,14.86
00194,7.85
00195,14.82
00196,10.30
00197,7.49
00198,9.99
00199,11.43
00200,10.30
00201,18.48
00202,13.73
00203,8.70
00204,10.32
00205,12.49
00206,8.11
00207,9.31
00208,12.92
00209,17.73
00210,12.93
00211,12.00
00212,11.26
00213,11.86
00214,11.89
00215,10.19
00216,6.55
00217,9.34
00218,13.60
00219,14.12
00220,16.71
00221,13.00
00222,6.40
00223,7.89
00224,7.00
00225,7.72
00226,10.69
00227,11.06
00228,12.46
00229,9.10
00230,10.85
00231,7.97
00232,9.72
00233,17.59
00234,14.96
00235,14.11
00236,8.04
00237,8.64
00238,13.90
00239,16.95
00240,10.02
00241,7.43
00242,7.75
00243,9.05
00244,15.17
00245,7.77
00246,9.87
00247,9.39
00248,11.08
00249,8.86
00250,8.48
00251,7.94
00252,16.76
00253,7.15
00254,10.80
00255,14.47
00256,11.78
00257,16.42
00258,11.34
00259,16.04
00260,16.50
00261,10.27
00262,15.47
00263,6.84
00264,13.10
00265,8.38
00266,8.54
00267,9.29
00268,15.47
00269,15.32
00270,8.45
00271,7.72
00272,12.58
00273,12.45
00274,17.24
00275,8.07
00276,8.51
00277,11.09
00278,13.33
00279,7.79
00280,6.03
00281,15.50
00282,14.56
00283,11.43
00284,8.60
00285,11.28
00286,12.74
00287,15.18
00288,8.85
00289,8.09
00290,11.83
00291,9.32
00292,12.72
00293,15.33
00294,13.94
00295,16.53
00296,6.98
00297,9.59
00298,15.42
00299,14.64
00300,16.03
00301,6.89
00302,13.44
00303,9.90
00304,7.52
00305,7.52
00306,18.45
