subid,AGE
00001,12.84
00002,14.17
00003,12.92
00004,7.54
00005,12.73
00006,14.17
00007,14.35
00008,15.19
00009,10.29
00010,8.51
00011,8.17
00012,9.75
00013,9.90
00014,16.55
00015,14.54
00016,17.50
00017,8.80
00018,12.01
00019,11.41
00020,10.28
00021,9.69
00022,13.31
00023,15.23
00024,14.21
00025,11.20
00026,10.99
00027,10.45
00028,14.92
00029,17.35
00030,7.45
00031,7.06
00032,9.43
00033,8.4
00034,12.45
00035,10.46
00036,11.82
00037,10.02
00038,9.50
00039,9.48
00040,12.07
00041,11.44
00042,17.67
00043,9.39
00044,15.74
00045,15.62
00046,13.44
00047,8.44
00048,13.47
00049,12.84
00050,10.48
00051,7.08
00052,12.79
00053,12.56
00054,10.29
00055,7.97
00056,17.10
00057,12.60
00058,7.01
00059,10.17
00060,15.14
00061,7.04
00062,7.91
00063,13.46
00064,7.87
00065,9.93
00066,16.44
00067,10.82
00068,8.86
00069,8.39
00070,13.35
00071,7.02
00072,11.53
00073,11.77
00074,11.82
00075,14.53
00076,13.44
00077,8.09
00078,8.53
00079,16.04
00080,12.22
00081,15.08
00082,8.01
00083,11.53
00084,11.84
00085,7.46
00086,15.79
00087,10.76
00088,15.87
00089,12.49
00090,14.37
00091,16.41
00092,7.66
00093,7.53
00094,9.13
00095,7.51
00096,11.94
00097,17.47
00098,9.31
00099,8.69
00100,15.25
00101,9.07
00102,11.37
00103,10.19
00104,8.95
00105,13.61
00106,9.10
00107,11.88
00108,8.18
00109,12.81
00110,10.30
00111,11.17
00112,12.52
00113,10.94
00114,10.03
00115,13.13
00116,13.99
00117,7.20
00118,20.27
00119,11.39
00120,16.95
00121,13.20
00122,7.12
00123,6.47
00124,13.99
00125,11.91
00126,10.53
00127,7.02
00128,17.35
00129,9.61
00130,11.73
00131,18.81
00132,15.10
00133,15.95
00134,14.53
00135,15.22
00136,7.06
00137,12.18
00138,10.28
00139,10.42
00140,10.26
00141,11.09
00142,7.70
00143,15.67
00144,8.95
00145,8.20
00146,7.67
00147,14.02
00148,9.42
00149,9.43
00150,9.20
00151,13.86
00152,14.41
00153,14.04
00154,11.31
00155,8.65
00156,18.19
00157,13.46
00158,13.31
00159,6.99
00160,9.74
00161,7.82
00162,10.13
00163,9.57
00164,15.65
00165,12.78
00166,9.99
00167,9.75
00168,12.59
00169,16.92
00170,9.01
00171,6.71
00172,10.72
00173,14.85
00174,13.64
00175,8.16
00176,13.32
00177,8.67
00178,15.02
00179,13.48
00180,11.81
00181,9.56
00182,8.42
00183,12.12
00184,7.45
00185,14.41
00186,13.11
00187,10.14
00188,15.41
00189,15.79
00190,17.07
00191,16.93
00192,13.46
00193,14.49
00194,7.49
00195,14.27
00196,11.77
00197,7.77
00198,8.29
00199,14.86
00200,7.85
00201,14.82
00202,10.30
00203,7.49
00204,10.25
00205,9.99
00206,11.43
00207,10.30
00208,18.48
00209,13.73
00210,7.88
00211,8.70
00212,10.32
00213,12.49
00214,9.31
00215,12.92
00216,8.00
00217,17.73
00218,12.93
00219,12.00
00220,11.26
00221,11.86
00222,11.89
00223,10.19
00224,6.55
00225,9.34
00226,17.81
00227,13.60
00228,11.86
00229,14.12
00230,16.71
00231,13.00
00232,6.40
00233,7.00
00234,7.72
00235,10.69
00236,11.06
00237,12.46
00238,9.10
00239,10.85
00240,7.97
00241,9.72
00242,10.95
00243,17.59
00244,14.96
00245,14.11
00246,8.04
00247,8.64
00248,13.90
00249,16.95
00250,10.02
00251,7.43
00252,7.75
00253,9.05
00254,15.17
00255,7.77
00256,9.87
00257,11.08
00258,8.86
00259,8.48
00260,7.94
00261,16.76
00262,7.15
00263,10.80
00264,14.47
00265,11.78
00266,16.42
00267,10.62
00268,11.34
00269,16.04
00270,16.50
00271,10.27
00272,15.47
00273,6.84
00274,13.10
00275,8.38
00276,8.54
00277,9.29
00278,15.47
00279,10.74
00280,15.32
00281,8.45
00282,9.72
00283,7.72
00284,12.58
00285,12.45
00286,17.24
00287,8.51
00288,11.09
00289,13.33
00290,7.79
00291,6.03
00292,15.50
00293,14.56
00294,10.83
00295,8.43
00296,11.43
00297,11.28
00298,12.74
00299,15.18
00300,8.85
00301,8.09
00302,11.83
00303,9.32
00304,12.72
00305,15.33
00306,13.94
00307,6.52
00308,16.53
00309,9.6
00310,6.98
00311,9.59
00312,15.42
00313,14.64
00314,16.03
00315,6.89
00316,13.44
00317,9.90
00318,7.52
00319,7.52
00320,18.45
